Source,Target,Weight,Type
alciphron_gb,evenings_gb,4,undirected
alciphron_gb,fables_holy_gb,1,undirected
alciphron_gb,loves_angels_gb,6,undirected
alciphron_gb,summerfete_gb,3,undirected
anacreon_gb,epistles_gb,5,undirected
anacreon_gb,little_gb,1,undirected
anacreon_gb,sacred_gb,1,undirected
anacreon_gb,tom_crib_gb,2,undirected
cash_corn_gb,fudges_england_gb,1,undirected
cash_corn_gb,fudges_paris_gb,6,undirected
cash_corn_gb,intercepted_gb,4,undirected
cash_corn_gb,tom_crib_gb,4,undirected
corruption_gb,epistles_gb,2,undirected
corruption_gb,sceptic_gb,5,undirected
corruption_gb,tom_crib_gb,3,undirected
epistles_gb,anacreon_gb,5,undirected
epistles_gb,corruption_gb,2,undirected
epistles_gb,little_gb,6,undirected
evenings_gb,alciphron_gb,4,undirected
evenings_gb,lalla_gb,3,undirected
evenings_gb,summerfete_gb,6,undirected
fables_holy_gb,alciphron_gb,1,undirected
fables_holy_gb,lalla_gb,3,undirected
fables_holy_gb,loves_angels_gb,4,undirected
fudges_england_gb,cash_corn_gb,1,undirected
fudges_england_gb,fudges_paris_gb,4,undirected
fudges_england_gb,intercepted_gb,3,undirected
fudges_paris_gb,cash_corn_gb,6,undirected
fudges_paris_gb,fudges_england_gb,4,undirected
fudges_paris_gb,intercepted_gb,5,undirected
fudges_paris_gb,tom_crib_gb,1,undirected
intercepted_gb,cash_corn_gb,4,undirected
intercepted_gb,fudges_england_gb,3,undirected
intercepted_gb,fudges_paris_gb,5,undirected
intercepted_gb,sceptic_gb,1,undirected
intercepted_gb,tom_crib_gb,2,undirected
lalla_gb,evenings_gb,3,undirected
lalla_gb,fables_holy_gb,3,undirected
lalla_gb,loves_angels_gb,5,undirected
little_gb,anacreon_gb,1,undirected
little_gb,epistles_gb,6,undirected
little_gb,melodies_gb,3,undirected
little_gb,national_gb,2,undirected
loves_angels_gb,alciphron_gb,6,undirected
loves_angels_gb,fables_holy_gb,4,undirected
loves_angels_gb,lalla_gb,5,undirected
loves_angels_gb,summerfete_gb,1,undirected
melodies_gb,little_gb,3,undirected
melodies_gb,national_gb,6,undirected
melodies_gb,sacred_gb,5,undirected
national_gb,little_gb,2,undirected
national_gb,melodies_gb,6,undirected
national_gb,sacred_gb,4,undirected
sacred_gb,anacreon_gb,1,undirected
sacred_gb,melodies_gb,5,undirected
sacred_gb,national_gb,4,undirected
sceptic_gb,corruption_gb,5,undirected
sceptic_gb,intercepted_gb,1,undirected
sceptic_gb,tom_crib_gb,2,undirected
summerfete_gb,alciphron_gb,3,undirected
summerfete_gb,evenings_gb,6,undirected
summerfete_gb,loves_angels_gb,1,undirected
tom_crib_gb,anacreon_gb,2,undirected
tom_crib_gb,cash_corn_gb,4,undirected
tom_crib_gb,corruption_gb,3,undirected
tom_crib_gb,fudges_paris_gb,1,undirected
tom_crib_gb,intercepted_gb,2,undirected
tom_crib_gb,sceptic_gb,2,undirected
